기준년월,지역,방문자수,전년동월방문자수,방문자수증감률
202406,대구,8480174.0,8342306.0,1.6
202407,대구,8595570.0,11791269.0,-27.1
202408,대구,8520806.0,8368224.0,1.8
202409,대구,9843592.0,8935346.0,10.2
202410,대구,8474102.0,8298854.0,2.1
202411,대구,8394152.0,7927122.0,5.9
202412,대구,8875338.0,8367874.0,6.1
202501,대구,9796276.0,9140509.0,7.2
202502,대구,7710644.0,7667681.0,0.6
202503,대구,9649934.0,9281352.0,4.0
202504,대구,7956084.0,7756126.0,2.6
202505,대구,10831156.0,8309998.0,30.3
202506,대구,8905631.0,7660860.0,16.2
202507,대구,9441796.0,8671880.0,8.9
202508,대구,9678942.0,8535950.0,13.4
202509,대구,9062876.0,9472172.0,-4.3
202510,대구,11060637.0,8771756.0,26.1
202511,대구,8954046.0,8178992.0,9.5
202512,대구,9380970.0,9167680.0,2.3
202301,대전,6835395.0,5104704.0,33.9
202302,대전,6167550.0,5419925.0,13.8
202303,대전,7722176.0,6787165.0,13.8
202304,대전,6231012.0,5154807.0,20.9
202305,대전,6633008.0,6001387.0,10.5
202306,대전,6603320.0,5498948.0,20.1
202307,대전,6724263.0,5568332.0,20.8
202308,대전,6901016.0,5248579.0,31.5
202309,대전,7443037.0,6334100.0,17.5
202310,대전,7162844.0,6139259.0,16.7
202311,대전,6487950.0,5940774.0,9.2
202312,대전,7097769.0,5913156.0,20.0
202401,대전,6595099.0,6145374.0,7.3
202402,대전,7114790.0,5129299.0,38.7
202403,대전,8228962.0,6585212.0,25.0
202404,대전,6436210.0,5670228.0,13.5
202405,대전,7160968.0,6578243.0,8.9
202406,대전,6725747.0,6082069.0,10.6
202407,대전,6913697.0,6574540.0,5.2
202408,대전,7173198.0,6363105.0,12.7
202409,대전,7723916.0,7251888.0,6.5
202410,대전,6889806.0,6649184.0,3.6
202411,대전,6779322.0,6176208.0,9.8
202412,대전,6898196.0,6403439.0,7.7
202501,대전,7260614.0,6835395.0,6.2
202502,대전,6460640.0,6167550.0,4.8
202503,대전,8171160.0,7722176.0,5.8
202504,대전,6651666.0,6231012.0,6.8
202505,대전,8580282.0,6633008.0,29.4
202506,대전,7276700.0,6603320.0,10.2
